station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KIAD,2026-09-21 12:00:00,4,30.0,24030.0,-53.5,-87.5,160.0,4,M,M
KIAD,2026-09-21 12:00:00,4,23.2,25689.27,-51.3,-88.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,22.2,25974.2,-52.7,-87.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,21.0,26334.05,-51.64,-87.7,350.0,10,M,M
KIAD,2026-09-21 12:00:00,4,20.0,26650.0,-50.7,-87.7,40.0,11,M,M
KIAD,2026-09-21 12:00:00,4,19.0,26984.4,-50.19,-87.7,130.0,12,M,M
KIAD,2026-09-21 12:00:00,4,18.1,27300.77,-49.7,-87.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,18.0,27336.94,-49.8,-87.8,160.0,10,M,M
KIAD,2026-09-21 12:00:00,4,17.7,27446.66,-50.1,-88.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,17.0,27711.73,-48.09,-86.72,155.0,10,M,M
KIAD,2026-09-21 12:00:00,4,16.6,27868.14,-46.9,-85.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,16.0,28112.46,-46.32,-85.32,125.0,10,M,M
KIAD,2026-09-21 12:00:00,4,15.2,28452.86,-45.5,-84.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,15.0,28540.76,-45.62,-84.62,155.0,14,M,M
KIAD,2026-09-21 12:00:00,4,14.0,28998.62,-46.24,-85.24,180.0,15,M,M
KIAD,2026-09-21 12:00:00,4,13.0,29490.44,-46.9,-85.9,145.0,10,M,M
KIAD,2026-09-21 12:00:00,4,12.1,29967.82,-44.3,-84.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,12.0,30023.18,-44.4,-84.33,265.0,14,M,M
KIAD,2026-09-21 12:00:00,4,11.0,30603.68,-45.47,-84.64,210.0,16,M,M
KIAD,2026-09-21 12:00:00,4,10.8,30726.1,-45.7,-84.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,10.0,31240.0,-43.9,-83.9,275.0,14,M,M
KIAD,2026-09-21 12:00:00,4,9.8,31375.57,-43.5,-83.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,9.4,31657.05,-40.9,-81.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,9.0,31952.81,-40.5,-81.5,215.0,10,M,M
KIAD,2026-09-21 12:00:00,4,8.8,32105.65,-40.3,-81.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,7.8,32926.45,-40.7,-81.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,7.5,33192.17,-42.3,-83.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,7.0,33660.0,-40.3,-81.3,265.0,36,M,M
KIAD,2026-09-21 12:00:00,4,6.9,33758.07,-40.3,-81.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,6.7,33958.22,-41.1,-82.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,6.4,34271.41,-38.1,-80.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,6.2,34490.32,-37.1,-79.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,6.0,34716.81,-37.3,-79.3,M,M,M,M
