station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,100.0,16500.0,-67.9,-75.9,275.0,43,M,M
KOKX,2026-09-21 12:00:00,4,96.3,16726.63,-67.1,-76.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,95.71,16764.0,-66.91,-76.01,270.0,44,M,M
KOKX,2026-09-21 12:00:00,4,91.03,17069.0,-65.37,-75.28,295.0,34,M,M
KOKX,2026-09-21 12:00:00,4,86.57,17374.0,-63.83,-74.55,275.0,24,M,M
KOKX,2026-09-21 12:00:00,4,85.1,17478.18,-63.3,-74.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,84.3,17536.06,-63.7,-74.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,83.3,17609.05,-64.1,-75.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,82.36,17678.0,-64.39,-75.39,245.0,34,M,M
KOKX,2026-09-21 12:00:00,4,80.7,17802.45,-64.9,-75.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,79.7,17878.35,-64.9,-75.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,78.34,17983.0,-64.8,-76.31,250.0,35,M,M
KOKX,2026-09-21 12:00:00,4,77.1,18080.34,-64.7,-76.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,75.6,18200.0,-64.9,-77.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,74.6,18281.01,-65.1,-78.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,74.51,18288.0,-65.06,-78.08,265.0,25,M,M
KOKX,2026-09-21 12:00:00,4,70.7,18608.96,-63.3,-77.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,70.0,18670.0,-63.3,-78.3,305.0,20,M,M
KOKX,2026-09-21 12:00:00,4,67.45,18898.0,-63.68,-78.68,310.0,20,M,M
KOKX,2026-09-21 12:00:00,4,67.3,18911.55,-63.7,-78.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,64.2,19202.0,-62.43,-78.34,295.0,20,M,M
KOKX,2026-09-21 12:00:00,4,63.9,19230.65,-62.3,-78.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,61.11,19507.0,-61.56,-78.49,245.0,11,M,M
KOKX,2026-09-21 12:00:00,4,60.9,19528.2,-61.5,-78.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,58.17,19812.0,-61.67,-79.52,270.0,15,M,M
KOKX,2026-09-21 12:00:00,4,57.7,19862.66,-61.7,-79.7,M,M,M,M
